"","trait_nm","trait_value","species_nm","quantile"
"2","LongevityMax",127,"Testudo hermanni","quant99"
"3","LongevityMax",0.9,"Psammodromus hispanicus","quant1"
"4","OffspringPerRepro",26.258333,"Chamaeleo chamaeleon","quant99"
"5","OffspringPerRepro",1.666667,"Blanus cinereus","quant1"
"6","ReproPerYear",7.5,"Tarentola mauritanica","quant99"
"7","ReproPerYear",0.4,"Coronella austriaca","quant1"
"8","SVLMax",1700,"Malpolon insignitus","quant99"
"9","SVLMax",45,"Algyroides fitzingeri","quant1"
