Taxon,Species,Region,Grid,Idgrid,Source
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E5900000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E6350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E6400000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E6450000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E5950000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E4800000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E4850000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E6500000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E3300000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E3350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E5300000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E5500000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E2850000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E2900000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E2950000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E3000000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E3050000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E3100000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E3150000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E3200000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E3250000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E3300000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E3350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E4750000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E4800000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E4850000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E5300000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E5350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E5400000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E5450000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E5500000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E6450000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E6500000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1700000E5550000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1750000E3200000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1750000E3250000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1750000E3300000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1750000E3350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1750000E4800000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1750000E4850000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1750000E5300000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1750000E5350000,IUCN_Red_List
