spcode,class,subclass,order,family,genus,species,authority_species,subspecies,authority_subspecies,EUROMED_taxon_name,Browicz_taxon_name,Kew_taxon_name
TLAX,Magnoliopsida,Caryophyllanae,Caryophyllales,Tamaricaceae,Tamarix,laxa, Willd.,,,,,Tamarix laxa Willd.
TMAS,Magnoliopsida,Caryophyllanae,Caryophyllales,Tamaricaceae,Tamarix,mascatensis, Bunge,,,,Tamarix mascatensis Bunge,
TMIN,Magnoliopsida,Caryophyllanae,Caryophyllales,Tamaricaceae,Tamarix,minoa," J.L. Villar, Turland, Juan, Gaskin, M.A. Alonso & M.B. Crespo",,,,,New described species
TPAR,Magnoliopsida,Caryophyllanae,Caryophyllales,Tamaricaceae,Tamarix,parviflora, DC.,,,,Tamarix tetrandra Pallas ex Bieb. sensu lato,
TPAS,Magnoliopsida,Caryophyllanae,Caryophyllales,Tamaricaceae,Tamarix,passerinoides, Del. ex Desf.,,,,Tamarix passerinoides Del. ex Desf. sensu lato,
TRAM,Magnoliopsida,Caryophyllanae,Caryophyllales,Tamaricaceae,Tamarix,ramosissima, Ledeb.,,,,Tamarix ramosissima Ledeb. sensu lato,
TSMY,Magnoliopsida,Caryophyllanae,Caryophyllales,Tamaricaceae,Tamarix,smyrnensis, Bunge,,,,Tamarix ramosissima Ledeb. sensu lato,
TTEG,Magnoliopsida,Caryophyllanae,Caryophyllales,Tamaricaceae,Tamarix,tetragyna, Ehrenb.,,,,Tamarix tetragyna Ehrenb.,
TTEN,Magnoliopsida,Caryophyllanae,Caryophyllales,Tamaricaceae,Tamarix,tetrandra, Pallas ex Bieb.,,,,Tamarix tetrandra Pallas ex Bieb. sensu lato,
TBAC,Pinopsida,Pinidae,Pinales,Taxaceae,Taxus,baccata, L.,,,Taxus baccata L.,Taxus baccata L.,Taxus baccata L.
TART,Pinopsida,Pinidae,Pinales,Cupressaceae,Tetraclinis,articulata, (Vahl) Masters,,,Tetraclinis articulata (Vahl) Mast.,,Tetraclinis articulata (Vahl) Mast.
TCOR,Magnoliopsida,Rosanae,Malvales,Malvaceae,Tilia,cordata, Miller,,,,,Tilia cordata Miller
TPLA,Magnoliopsida,Rosanae,Malvales,Malvaceae,Tilia,platyphyllos, Scop.,,,,,
TPLAc,Magnoliopsida,Rosanae,Malvales,Malvaceae,Tilia,platyphyllos, Scop.,cordifolia,(Besser) C.K. Schneider,,,Tilia platyphyllos Scop. subsp. cordifolia (Besser) C.K. Schneider
TPLAl,Magnoliopsida,Rosanae,Malvales,Malvaceae,Tilia,platyphyllos, Scop.,platyphyllos,,,,Tilia platyphyllos Scop. subsp. platyphyllos
TPLAs,Magnoliopsida,Rosanae,Malvales,Malvaceae,Tilia,platyphyllos, Scop.,pseudorubra,C.K. Schneider,,,Tilia platyphyllos Scop. subsp. pseudorubra C.K. Schneider
TTOM,Magnoliopsida,Rosanae,Malvales,Malvaceae,Tilia,tomentosa, Moench,,,,Tilia tomentosa Moench,Tilia tomentosa Moench
UCAN,Magnoliopsida,Rosanae,Rosales,Ulmaceae,Ulmus,canescens, Melville,,,Ulmus minor Miller subsp. canescens (Melville) Browicz & Ziel.,,Ulmus canescens Melville
UGLA,Magnoliopsida,Rosanae,Rosales,Ulmaceae,Ulmus,glabra, Hudson,,,Ulmus glabra Huds.,Ulmus glabra Hudson,
ULAE,Magnoliopsida,Rosanae,Rosales,Ulmaceae,Ulmus,laevis, Pallas,,,Ulmus laevis Pall.,,
UMIN,Magnoliopsida,Rosanae,Rosales,Ulmaceae,Ulmus,minor, Mill.,,,Ulmus minor Mill. subsp. minor,,
UPRO,Magnoliopsida,Rosanae,Rosales,Ulmaceae,Ulmus,procera, Salisb.,,,Ulmus procera Salisb.,,Ulmus minor Mill.
VAGN,Magnoliopsida,Asteranae,Lamiales,Lamiaceae,Vitex,agnus-castus, L.,,,Vitex agnus-castus L.,Vitex agnus-castus L.,Vitex agnus-castus L.
ZABE,Magnoliopsida,Rosanae,Rosales,Ulmaceae,Zelkova,abelicea, (Lam.) Boiss.,,,Zelkova abelicea (Lam.) Boiss.,,
ZSIC,Magnoliopsida,Rosanae,Rosales,Ulmaceae,Zelkova,sicula," Di Pasquale, Garfi & Quézel",,,Zelkova sicula Di Pasq. & al.,,
