Taxon,Species,Trait,Value,Source,Origin
Birds,Acanthis flammea,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Acanthis flammea,BeakLengthCulmen,11.4,AVONET,observation
Birds,Acanthis flammea,BeakRatio,2.53333300000000,AVONET,observation
Birds,Acanthis flammea,ReproPerYear,2,Storchova_Horak_2018,observation
Birds,Acanthis flammea,OffspringPerRepro,5,Storchova_Horak_2018,observation
Birds,Acanthis flammea,FledgingPeriod,12,Storchova_Horak_2018,observation
Birds,Acanthis flammea,GenerationLength,2.592005000,Bird_et_al_2020,mixte
Birds,Acanthis flammea,HandWingIndex,33.1,AVONET,observation
Birds,Acanthis flammea,LongevityMax,12,Storchova_Horak_2018,observation
Birds,Acanthis flammea,BodyMass,13,AVONET,observation
Birds,Acanthis flammea,Migration,2_intermediate,AVONET,observation
Birds,Acanthis flammea,TailLength,58.7,AVONET,observation
Birds,Acanthis flammea,TarsusLength,15.6,AVONET,observation
Birds,Accipiter brevipes,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Accipiter brevipes,BeakLengthCulmen,21.1,AVONET,observation
Birds,Accipiter brevipes,BeakRatio,2.42528700000000,AVONET,observation
Birds,Accipiter brevipes,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Accipiter brevipes,OffspringPerRepro,4,Storchova_Horak_2018,observation
Birds,Accipiter brevipes,FledgingPeriod,43,Storchova_Horak_2018,observation
Birds,Accipiter brevipes,GenerationLength,3.887832000,Bird_et_al_2020,mixte
Birds,Accipiter brevipes,HandWingIndex,40.2,AVONET,observation
Birds,Accipiter brevipes,LongevityMax,15.5,Storchova_Horak_2018,observation
Birds,Accipiter brevipes,BodyMass,186.5,AVONET,observation
Birds,Accipiter brevipes,Migration,3_migratory,AVONET,observation
Birds,Accipiter brevipes,TailLength,153.5,AVONET,observation
Birds,Accipiter brevipes,TarsusLength,46.4,AVONET,observation
Birds,Accipiter gentilis,FirstBreedingAge,3,Storchova_Horak_2018,observation
Birds,Accipiter gentilis,BeakLengthCulmen,33.7,AVONET,observation
Birds,Accipiter gentilis,BeakRatio,2.9051720000000,AVONET,observation
Birds,Accipiter gentilis,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Accipiter gentilis,OffspringPerRepro,3.5,Storchova_Horak_2018,observation
Birds,Accipiter gentilis,FledgingPeriod,39,Storchova_Horak_2018,observation
Birds,Accipiter gentilis,GenerationLength,7.483528000,Bird_et_al_2020,mixte
Birds,Accipiter gentilis,HandWingIndex,36.3,AVONET,observation
Birds,Accipiter gentilis,LongevityMax,22,Storchova_Horak_2018,observation
Birds,Accipiter gentilis,BodyMass,866,AVONET,observation
Birds,Accipiter gentilis,Migration,2_intermediate,AVONET,observation
Birds,Accipiter gentilis,TailLength,241.1,AVONET,observation
Birds,Accipiter gentilis,TarsusLength,67.3,AVONET,observation
Birds,Accipiter nisus,FirstBreedingAge,2,Storchova_Horak_2018,observation
Birds,Accipiter nisus,BeakLengthCulmen,19.6,AVONET,observation
Birds,Accipiter nisus,BeakRatio,2.33333300000000,AVONET,observation
Birds,Accipiter nisus,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Accipiter nisus,OffspringPerRepro,4.5,Storchova_Horak_2018,observation
Birds,Accipiter nisus,FledgingPeriod,27,Storchova_Horak_2018,observation
Birds,Accipiter nisus,GenerationLength,5.536678000,Bird_et_al_2020,mixte
Birds,Accipiter nisus,HandWingIndex,35.5,AVONET,observation
Birds,Accipiter nisus,LongevityMax,20,Storchova_Horak_2018,observation
Birds,Accipiter nisus,BodyMass,220.8,AVONET,observation
Birds,Accipiter nisus,Migration,2_intermediate,AVONET,observation
Birds,Accipiter nisus,TailLength,155.5,AVONET,observation
Birds,Accipiter nisus,TarsusLength,53.6,AVONET,observation
Birds,Aegithalos caudatus,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Aegithalos caudatus,BeakLengthCulmen,7.6,AVONET,observation
Birds,Aegithalos caudatus,BeakRatio,3.04,AVONET,observation
Birds,Aegithalos caudatus,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Aegithalos caudatus,OffspringPerRepro,10,Storchova_Horak_2018,observation
Birds,Aegithalos caudatus,FledgingPeriod,16,Storchova_Horak_2018,observation
Birds,Aegithalos caudatus,GenerationLength,2.393005000,Bird_et_al_2020,mixte
Birds,Aegithalos caudatus,HandWingIndex,22,AVONET,observation
Birds,Aegithalos caudatus,LongevityMax,11,Storchova_Horak_2018,observation
Birds,Aegithalos caudatus,BodyMass,8.6,AVONET,observation
Birds,Aegithalos caudatus,Migration,1_sedentary,AVONET,observation
Birds,Aegithalos caudatus,TailLength,87.8,AVONET,observation
Birds,Aegithalos caudatus,TarsusLength,15.9,AVONET,observation
Birds,Aegolius funereus,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Aegolius funereus,BeakLengthCulmen,18.2,AVONET,observation
Birds,Aegolius funereus,BeakRatio,2.30379700000000,AVONET,observation
Birds,Aegolius funereus,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Aegolius funereus,OffspringPerRepro,5,Storchova_Horak_2018,observation
Birds,Aegolius funereus,FledgingPeriod,32,Storchova_Horak_2018,observation
Birds,Aegolius funereus,GenerationLength,4.116173000,Bird_et_al_2020,mixte
Birds,Aegolius funereus,HandWingIndex,31.5,AVONET,observation
Birds,Aegolius funereus,LongevityMax,15,Storchova_Horak_2018,observation
Birds,Aegolius funereus,BodyMass,137.2,AVONET,observation
Birds,Aegolius funereus,Migration,2_intermediate,AVONET,observation
Birds,Aegolius funereus,TailLength,102.5,AVONET,observation
Birds,Aegolius funereus,TarsusLength,23.4,AVONET,observation
Birds,Aegypius monachus,FirstBreedingAge,6,Storchova_Horak_2018,observation
Birds,Aegypius monachus,BeakLengthCulmen,87.8,AVONET,observation
Birds,Aegypius monachus,BeakRatio,3.14695300000000,AVONET,observation
Birds,Aegypius monachus,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Aegypius monachus,OffspringPerRepro,1,Storchova_Horak_2018,observation
Birds,Aegypius monachus,FledgingPeriod,110,Storchova_Horak_2018,observation
Birds,Aegypius monachus,GenerationLength,14.20684100,Bird_et_al_2020,mixte
Birds,Aegypius monachus,HandWingIndex,41.1,AVONET,observation
Birds,Aegypius monachus,LongevityMax,32,Storchova_Horak_2018,observation
Birds,Aegypius monachus,BodyMass,9320.6,AVONET,observation
Birds,Aegypius monachus,Migration,1_sedentary,AVONET,observation
Birds,Aegypius monachus,TailLength,371,AVONET,observation
Birds,Aegypius monachus,TarsusLength,134.2,AVONET,observation
Birds,Alectoris barbara,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Alectoris barbara,BeakLengthCulmen,22.6,AVONET,observation
Birds,Alectoris barbara,BeakRatio,2.69047600000000,AVONET,observation
Birds,Alectoris barbara,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Alectoris barbara,OffspringPerRepro,12,Storchova_Horak_2018,observation
Birds,Alectoris barbara,FledgingPeriod,55,Storchova_Horak_2018,observation
Birds,Alectoris barbara,GenerationLength,1.849753000,Bird_et_al_2020,mixte
Birds,Alectoris barbara,HandWingIndex,28.5,AVONET,observation
Birds,Alectoris barbara,BodyMass,416.3,AVONET,observation
Birds,Alectoris barbara,Migration,1_sedentary,AVONET,observation
Birds,Alectoris barbara,TailLength,97.2,AVONET,observation
Birds,Alectoris barbara,TarsusLength,41.4,AVONET,observation
Birds,Alectoris graeca,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Alectoris graeca,BeakLengthCulmen,20.8,AVONET,observation
Birds,Alectoris graeca,BeakRatio,2.50602400000000,AVONET,observation
Birds,Alectoris graeca,ReproPerYear,1.5,Storchova_Horak_2018,observation
Birds,Alectoris graeca,OffspringPerRepro,11,Storchova_Horak_2018,observation
Birds,Alectoris graeca,FledgingPeriod,55,Storchova_Horak_2018,observation
Birds,Alectoris graeca,GenerationLength,2.147793000,Bird_et_al_2020,mixte
Birds,Alectoris graeca,HandWingIndex,36.9,AVONET,observation
Birds,Alectoris graeca,BodyMass,594.1,AVONET,observation
Birds,Alectoris graeca,Migration,1_sedentary,AVONET,observation
Birds,Alectoris graeca,TailLength,82.3,AVONET,observation
Birds,Alectoris graeca,TarsusLength,40.2,AVONET,observation
Birds,Anas platyrhynchos,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Anas platyrhynchos,BeakLengthCulmen,58.5,AVONET,observation
Birds,Anas platyrhynchos,BeakRatio,2.8125,AVONET,observation
Birds,Anas platyrhynchos,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Anas platyrhynchos,OffspringPerRepro,11,Storchova_Horak_2018,observation
Birds,Anas platyrhynchos,FledgingPeriod,55,Storchova_Horak_2018,observation
Birds,Anas platyrhynchos,GenerationLength,4.781013000,Bird_et_al_2020,mixte
Birds,Anas platyrhynchos,HandWingIndex,50.7,AVONET,observation
Birds,Anas platyrhynchos,LongevityMax,23,Storchova_Horak_2018,observation
Birds,Anas platyrhynchos,BodyMass,843.4,AVONET,observation
Birds,Anas platyrhynchos,Migration,2_intermediate,AVONET,observation
Birds,Anas platyrhynchos,TailLength,86.9,AVONET,observation
Birds,Anas platyrhynchos,TarsusLength,40.6,AVONET,observation
Birds,Anthus trivialis,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Anthus trivialis,BeakLengthCulmen,15.7,AVONET,observation
Birds,Anthus trivialis,BeakRatio,4.75757600000000,AVONET,observation
Birds,Anthus trivialis,ReproPerYear,1.5,Storchova_Horak_2018,observation
Birds,Anthus trivialis,OffspringPerRepro,4,Storchova_Horak_2018,observation
Birds,Anthus trivialis,FledgingPeriod,13,Storchova_Horak_2018,observation
Birds,Anthus trivialis,GenerationLength,2.108718000,Bird_et_al_2020,mixte
Birds,Anthus trivialis,HandWingIndex,29.3,AVONET,observation
Birds,Anthus trivialis,LongevityMax,9,Storchova_Horak_2018,observation
Birds,Anthus trivialis,BodyMass,23.3,AVONET,observation
Birds,Anthus trivialis,Migration,3_migratory,AVONET,observation
Birds,Anthus trivialis,TailLength,59.9,AVONET,observation
Birds,Anthus trivialis,TarsusLength,20.6,AVONET,observation
Birds,Aquila adalberti,FirstBreedingAge,5,Storchova_Horak_2018,observation
Birds,Aquila adalberti,BeakLengthCulmen,61.2,AVONET,observation
Birds,Aquila adalberti,BeakRatio,2.90047400000000,AVONET,observation
Birds,Aquila adalberti,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Aquila adalberti,OffspringPerRepro,2.5,Storchova_Horak_2018,observation
Birds,Aquila adalberti,FledgingPeriod,75,Storchova_Horak_2018,observation
Birds,Aquila adalberti,GenerationLength,17.39303200,Bird_et_al_2020,mixte
Birds,Aquila adalberti,HandWingIndex,39.7,AVONET,observation
Birds,Aquila adalberti,LongevityMax,56,Storchova_Horak_2018,observation
Birds,Aquila adalberti,BodyMass,2958,AVONET,observation
Birds,Aquila adalberti,Migration,2_intermediate,AVONET,observation
Birds,Aquila adalberti,TailLength,297,AVONET,observation
Birds,Aquila adalberti,TarsusLength,98.4,AVONET,observation
Birds,Aquila chrysaetos,FirstBreedingAge,4,Storchova_Horak_2018,observation
Birds,Aquila chrysaetos,BeakLengthCulmen,56.8,AVONET,observation
Birds,Aquila chrysaetos,BeakRatio,3.07027000000000,AVONET,observation
Birds,Aquila chrysaetos,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Aquila chrysaetos,OffspringPerRepro,2,Storchova_Horak_2018,observation
Birds,Aquila chrysaetos,FledgingPeriod,70,Storchova_Horak_2018,observation
Birds,Aquila chrysaetos,GenerationLength,16.25527000,Bird_et_al_2020,mixte
Birds,Aquila chrysaetos,HandWingIndex,36.7,AVONET,observation
Birds,Aquila chrysaetos,LongevityMax,32,Storchova_Horak_2018,observation
Birds,Aquila chrysaetos,BodyMass,4248,AVONET,observation
Birds,Aquila chrysaetos,Migration,2_intermediate,AVONET,observation
Birds,Aquila chrysaetos,TailLength,307.1,AVONET,observation
Birds,Aquila chrysaetos,TarsusLength,101.4,AVONET,observation
Birds,Aquila heliaca,FirstBreedingAge,5,Storchova_Horak_2018,observation
Birds,Aquila heliaca,BeakLengthCulmen,59,AVONET,observation
Birds,Aquila heliaca,BeakRatio,2.97979800000000,AVONET,observation
Birds,Aquila heliaca,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Aquila heliaca,OffspringPerRepro,2.5,Storchova_Horak_2018,observation
Birds,Aquila heliaca,FledgingPeriod,70,Storchova_Horak_2018,observation
Birds,Aquila heliaca,GenerationLength,16.63641400,Bird_et_al_2020,mixte
Birds,Aquila heliaca,HandWingIndex,39.5,AVONET,observation
Birds,Aquila heliaca,LongevityMax,26,Storchova_Horak_2018,observation
Birds,Aquila heliaca,BodyMass,3125.2,AVONET,observation
Birds,Aquila heliaca,Migration,3_migratory,AVONET,observation
Birds,Aquila heliaca,TailLength,316.2,AVONET,observation
Birds,Aquila heliaca,TarsusLength,93.7,AVONET,observation
Birds,Ardea alba,FirstBreedingAge,2,Storchova_Horak_2018,observation
Birds,Ardea alba,BeakLengthCulmen,126.3,AVONET,observation
Birds,Ardea alba,BeakRatio,10.525,AVONET,observation
Birds,Ardea alba,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Ardea alba,OffspringPerRepro,4,Storchova_Horak_2018,observation
Birds,Ardea alba,FledgingPeriod,42,Storchova_Horak_2018,observation
Birds,Ardea alba,GenerationLength,6.036657000,Bird_et_al_2020,mixte
Birds,Ardea alba,HandWingIndex,32.1,AVONET,observation
Birds,Ardea alba,LongevityMax,14,Storchova_Horak_2018,observation
Birds,Ardea alba,BodyMass,871.3,AVONET,observation
Birds,Ardea alba,Migration,2_intermediate,AVONET,observation
Birds,Ardea alba,TailLength,140.5,AVONET,observation
Birds,Ardea alba,TarsusLength,141.6,AVONET,observation
Birds,Ardea cinerea,FirstBreedingAge,2,Storchova_Horak_2018,observation
Birds,Ardea cinerea,BeakLengthCulmen,138.9,AVONET,observation
Birds,Ardea cinerea,BeakRatio,7.42780700000000,AVONET,observation
Birds,Ardea cinerea,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Ardea cinerea,OffspringPerRepro,4.5,Storchova_Horak_2018,observation
Birds,Ardea cinerea,FledgingPeriod,50,Storchova_Horak_2018,observation
Birds,Ardea cinerea,GenerationLength,8.879565000,Bird_et_al_2020,mixte
Birds,Ardea cinerea,HandWingIndex,34.6,AVONET,observation
Birds,Ardea cinerea,LongevityMax,37,Storchova_Horak_2018,observation
Birds,Ardea cinerea,BodyMass,1443,AVONET,observation
Birds,Ardea cinerea,Migration,1_sedentary,AVONET,observation
Birds,Ardea cinerea,TailLength,169.1,AVONET,observation
Birds,Ardea cinerea,TarsusLength,137.9,AVONET,observation
Birds,Ardea purpurea,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Ardea purpurea,BeakLengthCulmen,125.9,AVONET,observation
Birds,Ardea purpurea,BeakRatio,9.25735300000000,AVONET,observation
Birds,Ardea purpurea,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Ardea purpurea,OffspringPerRepro,4.5,Storchova_Horak_2018,observation
Birds,Ardea purpurea,FledgingPeriod,47,Storchova_Horak_2018,observation
Birds,Ardea purpurea,GenerationLength,6.35162200,Bird_et_al_2020,mixte
Birds,Ardea purpurea,HandWingIndex,33.9,AVONET,observation
Birds,Ardea purpurea,LongevityMax,25,Storchova_Horak_2018,observation
Birds,Ardea purpurea,BodyMass,1064.5,AVONET,observation
Birds,Ardea purpurea,Migration,3_migratory,AVONET,observation
Birds,Ardea purpurea,TailLength,113.2,AVONET,observation
Birds,Ardea purpurea,TarsusLength,117.5,AVONET,observation
Birds,Ardeola ralloides,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Ardeola ralloides,BeakLengthCulmen,72.8,AVONET,observation
Birds,Ardeola ralloides,BeakRatio,8,AVONET,observation
Birds,Ardeola ralloides,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Ardeola ralloides,OffspringPerRepro,5,Storchova_Horak_2018,observation
Birds,Ardeola ralloides,FledgingPeriod,45,Storchova_Horak_2018,observation
Birds,Ardeola ralloides,GenerationLength,4.13754100,Bird_et_al_2020,mixte
Birds,Ardeola ralloides,HandWingIndex,32.4,AVONET,observation
Birds,Ardeola ralloides,LongevityMax,6,Storchova_Horak_2018,observation
Birds,Ardeola ralloides,BodyMass,287,AVONET,observation
Birds,Ardeola ralloides,Migration,3_migratory,AVONET,observation
Birds,Ardeola ralloides,TailLength,75.8,AVONET,observation
Birds,Ardeola ralloides,TarsusLength,59.4,AVONET,observation
Birds,Asio otus,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Asio otus,BeakLengthCulmen,28.3,AVONET,observation
Birds,Asio otus,BeakRatio,3.21590900000000,AVONET,observation
Birds,Asio otus,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Asio otus,OffspringPerRepro,4,Storchova_Horak_2018,observation
Birds,Asio otus,FledgingPeriod,30,Storchova_Horak_2018,observation
Birds,Asio otus,GenerationLength,4.927443000,Bird_et_al_2020,mixte
Birds,Asio otus,HandWingIndex,41.2,AVONET,observation
Birds,Asio otus,LongevityMax,18,Storchova_Horak_2018,observation
Birds,Asio otus,BodyMass,296.6,AVONET,observation
Birds,Asio otus,Migration,2_intermediate,AVONET,observation
Birds,Asio otus,TailLength,137,AVONET,observation
Birds,Asio otus,TarsusLength,40.1,AVONET,observation
Birds,Bonasa bonasia,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Bonasa bonasia,BeakLengthCulmen,21.7,AVONET,observation
Birds,Bonasa bonasia,BeakRatio,2.41111100000000,AVONET,observation
Birds,Bonasa bonasia,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Bonasa bonasia,OffspringPerRepro,9,Storchova_Horak_2018,observation
Birds,Bonasa bonasia,FledgingPeriod,35,Storchova_Horak_2018,observation
Birds,Bonasa bonasia,GenerationLength,2.495635000,Bird_et_al_2020,mixte
Birds,Bonasa bonasia,HandWingIndex,33,AVONET,observation
Birds,Bonasa bonasia,LongevityMax,7,Storchova_Horak_2018,observation
Birds,Bonasa bonasia,BodyMass,429,AVONET,observation
Birds,Bonasa bonasia,Migration,1_sedentary,AVONET,observation
Birds,Bonasa bonasia,TailLength,117.8,AVONET,observation
Birds,Bonasa bonasia,TarsusLength,35.1,AVONET,observation
Birds,Bubulcus ibis,FirstBreedingAge,2,Storchova_Horak_2018,observation
Birds,Bubulcus ibis,BeakLengthCulmen,63.3,AVONET,observation
Birds,Bubulcus ibis,BeakRatio,7.36046500000000,AVONET,observation
Birds,Bubulcus ibis,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Bubulcus ibis,OffspringPerRepro,4.5,Storchova_Horak_2018,observation
Birds,Bubulcus ibis,FledgingPeriod,30,Storchova_Horak_2018,observation
Birds,Bubulcus ibis,GenerationLength,6.069602000,Bird_et_al_2020,mixte
Birds,Bubulcus ibis,HandWingIndex,29.9,AVONET,observation
Birds,Bubulcus ibis,LongevityMax,18,Storchova_Horak_2018,observation
Birds,Bubulcus ibis,BodyMass,366,AVONET,observation
Birds,Bubulcus ibis,Migration,2_intermediate,AVONET,observation
Birds,Bubulcus ibis,TailLength,90.9,AVONET,observation
Birds,Bubulcus ibis,TarsusLength,76.8,AVONET,observation
Birds,Buteo buteo,FirstBreedingAge,3,Storchova_Horak_2018,observation
Birds,Buteo buteo,BeakLengthCulmen,35.9,AVONET,observation
Birds,Buteo buteo,BeakRatio,2.84920600000000,AVONET,observation
Birds,Buteo buteo,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Buteo buteo,OffspringPerRepro,3,Storchova_Horak_2018,observation
Birds,Buteo buteo,FledgingPeriod,53,Storchova_Horak_2018,observation
Birds,Buteo buteo,GenerationLength,9.449470000,Bird_et_al_2020,mixte
Birds,Buteo buteo,HandWingIndex,38.3,AVONET,observation
Birds,Buteo buteo,LongevityMax,29,Storchova_Horak_2018,observation
Birds,Buteo buteo,BodyMass,759.1,AVONET,observation
Birds,Buteo buteo,Migration,2_intermediate,AVONET,observation
Birds,Buteo buteo,TailLength,214.4,AVONET,observation
Birds,Buteo buteo,TarsusLength,75.8,AVONET,observation
Birds,Caprimulgus europaeus,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Caprimulgus europaeus,BeakLengthCulmen,20.2,AVONET,observation
Birds,Caprimulgus europaeus,BeakRatio,4.48888900000000,AVONET,observation
Birds,Caprimulgus europaeus,ReproPerYear,1.5,Storchova_Horak_2018,observation
Birds,Caprimulgus europaeus,OffspringPerRepro,2,Storchova_Horak_2018,observation
Birds,Caprimulgus europaeus,FledgingPeriod,17,Storchova_Horak_2018,observation
Birds,Caprimulgus europaeus,GenerationLength,3.482666000,Bird_et_al_2020,mixte
Birds,Caprimulgus europaeus,HandWingIndex,53.4,AVONET,observation
Birds,Caprimulgus europaeus,LongevityMax,12,Storchova_Horak_2018,observation
Birds,Caprimulgus europaeus,BodyMass,67,AVONET,observation
Birds,Caprimulgus europaeus,Migration,3_migratory,AVONET,observation
Birds,Caprimulgus europaeus,TailLength,130.6,AVONET,observation
Birds,Caprimulgus europaeus,TarsusLength,17.3,AVONET,observation
Birds,Caprimulgus ruficollis,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Caprimulgus ruficollis,BeakLengthCulmen,23.7,AVONET,observation
Birds,Caprimulgus ruficollis,BeakRatio,4.74,AVONET,observation
Birds,Caprimulgus ruficollis,ReproPerYear,2,Storchova_Horak_2018,observation
Birds,Caprimulgus ruficollis,OffspringPerRepro,2,Storchova_Horak_2018,observation
Birds,Caprimulgus ruficollis,FledgingPeriod,18,Storchova_Horak_2018,observation
Birds,Caprimulgus ruficollis,GenerationLength,3.4992880,Bird_et_al_2020,mixte
Birds,Caprimulgus ruficollis,HandWingIndex,54,AVONET,observation
Birds,Caprimulgus ruficollis,LongevityMax,13,Storchova_Horak_2018,observation
Birds,Caprimulgus ruficollis,BodyMass,68.5,AVONET,observation
Birds,Caprimulgus ruficollis,Migration,3_migratory,AVONET,observation
Birds,Caprimulgus ruficollis,TailLength,147.8,AVONET,observation
Birds,Caprimulgus ruficollis,TarsusLength,20.4,AVONET,observation
Birds,Carduelis carduelis,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Carduelis carduelis,BeakLengthCulmen,15.4,AVONET,observation
Birds,Carduelis carduelis,BeakRatio,2.8,AVONET,observation
Birds,Carduelis carduelis,ReproPerYear,2,Storchova_Horak_2018,observation
Birds,Carduelis carduelis,OffspringPerRepro,5,Storchova_Horak_2018,observation
Birds,Carduelis carduelis,FledgingPeriod,15,Storchova_Horak_2018,observation
Birds,Carduelis carduelis,GenerationLength,2.528041000,Bird_et_al_2020,mixte
Birds,Carduelis carduelis,HandWingIndex,33.4,AVONET,observation
Birds,Carduelis carduelis,LongevityMax,14,Storchova_Horak_2018,observation
Birds,Carduelis carduelis,BodyMass,16,AVONET,observation
Birds,Carduelis carduelis,Migration,1_sedentary,AVONET,observation
Birds,Carduelis carduelis,TailLength,48.6,AVONET,observation
Birds,Carduelis carduelis,TarsusLength,14.7,AVONET,observation
Birds,Carduelis citrinella,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Carduelis citrinella,BeakLengthCulmen,10.8,AVONET,observation
Birds,Carduelis citrinella,BeakRatio,2.4,AVONET,observation
Birds,Carduelis citrinella,ReproPerYear,1.5,Storchova_Horak_2018,observation
Birds,Carduelis citrinella,OffspringPerRepro,4.5,Storchova_Horak_2018,observation
Birds,Carduelis citrinella,FledgingPeriod,17,Storchova_Horak_2018,observation
Birds,Carduelis citrinella,GenerationLength,2.115650000,Bird_et_al_2020,mixte
Birds,Carduelis citrinella,HandWingIndex,30.3,AVONET,observation
Birds,Carduelis citrinella,LongevityMax,6,Storchova_Horak_2018,observation
Birds,Carduelis citrinella,BodyMass,12,AVONET,observation
Birds,Carduelis citrinella,Migration,1_sedentary,AVONET,observation
Birds,Carduelis citrinella,TailLength,53.3,AVONET,observation
Birds,Carduelis citrinella,TarsusLength,14.7,AVONET,observation
Birds,Carduelis corsicana,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Carduelis corsicana,BeakLengthCulmen,10.6,AVONET,observation
Birds,Carduelis corsicana,BeakRatio,2.52381000000000,AVONET,observation
Birds,Carduelis corsicana,ReproPerYear,1.5,Storchova_Horak_2018,observation
Birds,Carduelis corsicana,OffspringPerRepro,4.5,Storchova_Horak_2018,observation
Birds,Carduelis corsicana,FledgingPeriod,17,Storchova_Horak_2018,observation
Birds,Carduelis corsicana,GenerationLength,1.995499000,Bird_et_al_2020,mixte
Birds,Carduelis corsicana,HandWingIndex,29.4,AVONET,observation
Birds,Carduelis corsicana,LongevityMax,6,Storchova_Horak_2018,observation
Birds,Carduelis corsicana,BodyMass,12,AVONET,observation
Birds,Carduelis corsicana,Migration,1_sedentary,AVONET,observation
Birds,Carduelis corsicana,TailLength,51,AVONET,observation
Birds,Carduelis corsicana,TarsusLength,14.5,AVONET,observation
Birds,Carpodacus erythrinus,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Carpodacus erythrinus,BeakLengthCulmen,12,AVONET,observation
Birds,Carpodacus erythrinus,BeakRatio,1.76470600000000,AVONET,observation
Birds,Carpodacus erythrinus,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Carpodacus erythrinus,OffspringPerRepro,5,Storchova_Horak_2018,observation
Birds,Carpodacus erythrinus,FledgingPeriod,12,Storchova_Horak_2018,observation
Birds,Carpodacus erythrinus,GenerationLength,2.23998500,Bird_et_al_2020,mixte
Birds,Carpodacus erythrinus,HandWingIndex,30.8,AVONET,observation
Birds,Carpodacus erythrinus,LongevityMax,9,Storchova_Horak_2018,observation
Birds,Carpodacus erythrinus,BodyMass,24,AVONET,observation
Birds,Carpodacus erythrinus,Migration,3_migratory,AVONET,observation
Birds,Carpodacus erythrinus,TailLength,58.6,AVONET,observation
Birds,Carpodacus erythrinus,TarsusLength,16.4,AVONET,observation
Birds,Certhia brachydactyla,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Certhia brachydactyla,BeakLengthCulmen,18.7,AVONET,observation
Birds,Certhia brachydactyla,BeakRatio,9.35,AVONET,observation
Birds,Certhia brachydactyla,ReproPerYear,2,Storchova_Horak_2018,observation
Birds,Certhia brachydactyla,OffspringPerRepro,6.5,Storchova_Horak_2018,observation
Birds,Certhia brachydactyla,FledgingPeriod,17,Storchova_Horak_2018,observation
Birds,Certhia brachydactyla,GenerationLength,1.70129500,Bird_et_al_2020,mixte
Birds,Certhia brachydactyla,HandWingIndex,17.7,AVONET,observation
Birds,Certhia brachydactyla,LongevityMax,6,Storchova_Horak_2018,observation
Birds,Certhia brachydactyla,BodyMass,8.2,AVONET,observation
Birds,Certhia brachydactyla,Migration,1_sedentary,AVONET,observation
Birds,Certhia brachydactyla,TailLength,57.1,AVONET,observation
Birds,Certhia brachydactyla,TarsusLength,14.9,AVONET,observation
Birds,Certhia familiaris,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Certhia familiaris,BeakLengthCulmen,18.1,AVONET,observation
Birds,Certhia familiaris,BeakRatio,9.05,AVONET,observation
Birds,Certhia familiaris,ReproPerYear,1.5,Storchova_Horak_2018,observation
Birds,Certhia familiaris,OffspringPerRepro,5.5,Storchova_Horak_2018,observation
Birds,Certhia familiaris,FledgingPeriod,15,Storchova_Horak_2018,observation
Birds,Certhia familiaris,GenerationLength,2.053052000,Bird_et_al_2020,mixte
Birds,Certhia familiaris,HandWingIndex,19.2,AVONET,observation
Birds,Certhia familiaris,LongevityMax,8,Storchova_Horak_2018,observation
